"ID","Season","Site","N2.Amp","perN","del15N","CO2.Amp","perC","del13C","Weight..mg..1","SO2.Area","perS","del34S","weight..mg.","H2.Amp","perH","del2H","CO.Amp","perO","del18O"
"1-1 MDS","Summer","MDS",2404,5.58,14.32,1566,25.64,-30.46,3.227,4.185,0.66,-5.31,0.4,5119,4.32,-84.21,3230,26.23,9.87
"1-10 MDS","Summer","MDS",3102,6.72,15.23,1752,26.85,-30.65,3.106,3.466,0.57,-5.02,0.44,6613,5.11,-94.63,4237,33.34,6.15
"1-11 MDS","Summer","MDS",1886,4.92,14.66,1182,21.49,-30.1,3.034,2.221,0.37,-4.9,0.48,7359,5.03,-89.48,4352,30.36,9.68
"1-12 MDS","Summer","MDS",2344,6.73,15.23,1372,27.56,-30.15,3.025,4.319,0.73,-5.73,0.44,7024,5.27,-94.51,3824,28.94,8.94
"1-13 MDS","Summer","MDS",2355,6.3,14.78,1385,25.96,-30.51,3.109,2.666,0.44,-5.02,0.43,7207,5.56,-86.2,4063,31.54,13.44
"1-14 MDS","Summer","MDS",2125,5.48,14.19,1475,26.64,-30.6,3.206,3.202,0.51,-4.96,0.43,8438,6.4,-91.6,4953,38.62,12.15
"1-15 MDS","Summer","MDS",2843,6.85,15.18,1800,30.72,-30.79,3.05,3.078,0.52,-5.34,0.49,8805,5.81,-93.69,4251,29.18,7.32
"1-16 MDS","Summer","MDS",2180,5.9,14.36,1468,27.89,-30.28,3.111,3.928,0.65,-5.04,0.42,5702,4.38,-85.43,3734,28.79,12.29
"1-17 MDS","Summer","MDS",1650,3.86,14.14,1184,19.18,-30.07,3.332,3.295,0.51,-5.12,0.41,7446,5.9,-91.33,4235,34.3,11.78
"1-18 MDS","Summer","MDS",2883,7.09,14.45,1660,28.86,-30.37,3.511,5.278,0.77,-5.04,0.48,6086,4.13,-98.4,3672,25.36,8.65
"1-19 MDS","Summer","MDS",3660,8.61,15.22,2186,36.63,-30.51,3.442,4.693,0.69,-5.18,0.48,8071,5.48,-89.32,4694,32.56,15.72
"1-2 MDS","Summer","MDS",1866,4.68,15.68,1414,24.95,-30.73,3.238,3.066,0.48,-5.19,0.43,6121,4.86,-80.44,3903,29.84,13.53
"1-20 MDS","Summer","MDS",3209,8.04,15.47,1818,32.25,-31.04,2.96,3.525,0.6,-5.1,0.44,7735,5.65,-94.67,3982,30.05,9.17
"1-3 MDS","Summer","MDS",1684,4.41,14.51,1058,19.36,-29.76,3.206,2.787,0.44,-4.5,0.48,6873,4.89,-87.83,4101,28.67,10.8
"1-4 MDS","Summer","MDS",1356,3.64,15.33,984,18.3,-30.7,2.941,2.2,0.38,-5.08,0.45,5217,3.92,-90.12,3392,24.8,10.87
"1-5 MDS","Summer","MDS",1032,2.83,14.41,657,12.33,-29.3,3.066,3.141,0.52,-5.21,0.49,5477,3.87,-94.22,3876,26.56,7.55
"1-6 MDS","Summer","MDS",1956,4.45,13.37,1481,23.54,-30.28,3.22,2.621,0.42,-5.06,0.45,5619,4.23,-83.93,3785,28.6,8.85
"1-7 MDS","Summer","MDS",1714,4.79,14.43,1150,22.33,-30.33,3.152,3.255,0.53,-5.48,0.41,5618,4.74,-86.67,3773,32.22,8.37
"1-8 MDS","Summer","MDS",2270,6.46,13.47,1710,34.23,-30.91,2.934,2.341,0.4,-5.35,0.44,7896,6.1,-89.86,4223,34.19,6.92
"1-9 MDS","Summer","MDS",1937,5.38,14.71,1250,24.2,-30.22,3.255,3.149,0.49,-5.34,0.44,5624,4.39,-88.24,3562,28.3,7.4
"10-1 TDS","Fall","TDS",2695,7.89,12.57,1503,30.63,-31.2,2.722,2.35,0.38,-8.02,0.38,5717,3.89,-115.32,2466,22.49,13.53
"10-10 TDS","Fall","TDS",2136,5.96,12.22,1348,26.26,-30.99,2.005,2.163,0.48,-8.17,0.39,6295,4.16,-106.26,3086,27.38,13.26
"10-11 TDS","Fall","TDS",1304,4.14,12.24,1076,23.5,-31.37,3.149,2.133,0.3,-8,0.4,7754,4.89,-106.91,3659,31.87,17.42
"10-13 TDS","Fall","TDS",3281,10.24,12.01,2001,43.94,-31.69,2.172,1.932,0.39,-8.99,0.45,9633,5.46,-116.1,3860,30.59,21.03
"10-14 TDS","Fall","TDS",2109,6.42,12.48,1726,36.7,-31.92,3.33,2.277,0.3,-9.23,0.42,8389,5.04,-107.24,3813,31.75,20.73
"10-15 TDS","Fall","TDS",2190,6.64,12.37,1887,40.08,-32.15,3.098,2.296,0.33,-8.77,0.43,9438,5.54,-116.9,4090,33.1,20.45
"10-16 TDS","Fall","TDS",2637,7.82,12.31,2049,42.68,-32.09,2.465,1.684,0.3,-8.2,0.41,9557,5.91,-119.76,3842,32.56,19.9
"10-17 TDS","Fall","TDS",1394,4.3,12.28,1652,35.17,-32.19,2.995,1.401,0.21,-8.8,0.45,8711,5.01,-123.12,4014,31.15,21.94
"10-18 TDS","Fall","TDS",2039,6.43,12.71,1623,36.32,-31.49,2.557,1.564,0.27,-9.21,0.44,7099,4.15,-104.91,3370,26.83,16.09
"10-19 TDS","Fall","TDS",1836,5.81,11.75,1561,34.16,-31.85,2.508,1.301,0.23,-8.27,0.4,7647,4.93,-119.93,3620,32.06,19.45
"10-2 TDS","Fall","TDS",3513,10.8,12.21,2019,43.61,-31.63,2.528,2.268,0.4,-8.96,0.45,10262,5.77,-118.46,3899,30.04,19.84
"10-20 TDS","Fall","TDS",4128,11.23,12.42,2300,44.37,-31.91,2.042,1.831,0.4,-9.12,0.38,8746,5.92,-119.14,2855,26.04,17.17
"10-3 TDS","Fall","TDS",1505,4.49,12.43,1671,34.77,-32.02,2.166,1.325,0.27,-7.37,0.37,7251,5.07,-111.67,3381,31.46,18.95
"10-4 TDS","Fall","TDS",2056,5.77,12.42,1870,36.6,-32.33,2.99,2.585,0.38,-8.49,0.36,8414,5.98,-119.69,3439,33.76,19.05
"10-6 TDS","Fall","TDS",2866,8.21,12.42,1992,40.12,-32.07,2.493,2.057,0.36,-8.37,0.38,7800,5.2,-125.68,3374,30.62,19.1
"10-8 TDS","Fall","TDS",1900,5.59,11.86,1758,36.08,-31.69,3.201,2.215,0.3,-9.13,0.38,6972,4.66,-112.59,3258,29.45,19.99
"10-9 TDS","Fall","TDS",1926,5.79,12.31,1613,33.85,-31.63,2.352,2.119,0.4,-9.03,0.39,7320,4.73,-122.93,3332,29.57,18.33
"11-10 PDS","Fall","PDS",1459,4.68,12.06,1068,23.97,-28.59,3.177,1.579,0.22,-5.95,0.35,6112,4.38,-89.89,3164,30.85,15.91
"11-11 PDS","Fall","PDS",2377,6.7,11.81,1373,27.55,-28.59,3.092,2.793,0.4,-6.89,0.43,8021,4.63,-96.68,3387,27.3,13.36
"11-12 PDS","Fall","PDS",1264,3.23,12.78,732,12.92,-26.99,1.986,1.177,0.26,-5.13,0.36,5553,3.94,-105.24,2589,24.88,11.65
"11-13 PDS","Fall","PDS",2558,7.1,12.16,1630,31.96,-28.68,2.038,1.449,0.31,-6.13,0.39,6895,4.5,-96.14,3092,28.46,15.38
