"ID","Season","Site","C16.1n.9","C16.1n.7","C17.1","C18.1n.9","C18.1n.7","C20.1.1"
"1-1 MDS","Summer","MDS",0.2,3.2,0.5,6.8,2.2,19.3
"1-10 MDS","Summer","MDS",0.3,3.7,0.5,5.9,2.1,18.2
"1-11 MDS","Summer","MDS",0.2,3,0.4,5.7,2.2,19.5
"1-12 MDS","Summer","MDS",0.2,3.3,0.4,5.9,1.9,21.1
"1-13 MDS","Summer","MDS",0.2,2.9,0.5,7.2,1.8,20.2
"1-14 MDS","Summer","MDS",0.2,4.1,0.4,5.6,2.2,17.5
"1-15 MDS","Summer","MDS",0.3,4.4,0.5,6.3,2.3,18.8
"1-16 MDS","Summer","MDS",0.3,3.2,0.6,5.9,2.4,18.8
"1-17 MDS","Summer","MDS",0.2,3,0.6,7.1,1.9,19.4
"1-18 MDS","Summer","MDS",0.2,3,0.5,6.1,2.3,18.8
"1-19 MDS","Summer","MDS",0.3,4.7,0.5,5.7,2.3,16
"1-2 MDS","Summer","MDS",0.2,3.3,0.5,6.4,2.3,20.4
"1-20 MDS","Summer","MDS",0.2,2.9,0.5,5.9,2.1,19.7
"1-3 MDS","Summer","MDS",0.1,2.8,0.4,5.9,2.1,19.4
"1-4 MDS","Summer","MDS",0.2,3.2,0.5,5.4,2.1,20.1
"1-5 MDS","Summer","MDS",0.2,2.6,0.5,5.5,1.9,19.4
"1-6 MDS","Summer","MDS",0.3,4.6,0.5,5.6,2.2,16.8
"1-7 MDS","Summer","MDS",0.3,3.2,0.5,6.3,2.5,17.4
"1-8 MDS","Summer","MDS",0.3,5,0.4,5.6,2.6,15.9
"1-9 MDS","Summer","MDS",0.2,2.8,0.5,6.2,1.8,19
"10-1 TDS","Fall","TDS",0.1,6.8,0.5,8.3,1.4,15.4
"10-10 TDS","Fall","TDS",0.1,9.6,0.5,7.8,1.6,14.6
"10-11 TDS","Fall","TDS",0.1,10.5,0.5,7.8,2,11.5
"10-13 TDS","Fall","TDS",0.1,9.7,0.5,7.5,1.6,14.4
"10-14 TDS","Fall","TDS",0.1,8.9,0.7,8.9,1.7,16.1
"10-15 TDS","Fall","TDS",0.1,10.2,0.6,8.6,1.7,14.2
"10-16 TDS","Fall","TDS",0.1,13.1,0.6,8.2,2.2,12.2
"10-17 TDS","Fall","TDS",0.1,11.4,0.6,7.9,1.9,13
"10-18 TDS","Fall","TDS",0.1,9,0.5,8.2,1.7,14.8
