"ID","Season","Site","C18.2n.6","C18.3n.3","C18.4n.3","C20.4n.6","C20.5n.3","C22.2n.9","C22.4n.6","C22.5n.6","C22.5n.3","C22.6n.3"
"1-1 MDS","Summer","MDS",4.9,3.1,0.5,15,5.8,3.7,3.4,2.9,3,2.7
"1-10 MDS","Summer","MDS",5.8,3.4,0.6,16.2,5.6,3.5,2.8,2.4,3.1,2.3
"1-11 MDS","Summer","MDS",5,3,0.5,16.7,6.4,3.4,2.4,2.7,3,2.6
"1-12 MDS","Summer","MDS",5,2.6,0.5,17.6,6,4.1,2.9,2.5,3.3,2.2
"1-13 MDS","Summer","MDS",4.8,2.6,0.3,16.7,4.8,3.8,3.2,2.9,2.9,2.3
"1-14 MDS","Summer","MDS",5.2,2.9,0.6,15.5,7.5,3.2,2.4,2.9,3.7,3.2
"1-15 MDS","Summer","MDS",4.8,3.3,0.5,14.7,6.2,3.4,2.4,2.7,3.3,2.8
"1-16 MDS","Summer","MDS",4.9,3.1,0.6,15.5,7.1,3.8,2.7,2.6,3.5,2.7
"1-17 MDS","Summer","MDS",5.2,2.5,0.5,16.7,5.9,3.3,3.5,2.7,3.1,2.5
"1-18 MDS","Summer","MDS",4.8,2.6,0.5,16.6,6.6,3.3,3.3,2.5,3.3,2.6
"1-19 MDS","Summer","MDS",5.1,3.3,0.7,15.1,7.8,3.2,2.5,2.9,3.4,2.8
"1-2 MDS","Summer","MDS",5.1,2.8,0.5,16.7,5.4,3.7,2.9,2.4,2.7,2.3
"1-20 MDS","Summer","MDS",4.7,2.7,0.5,18.2,5.7,4,2.6,2.8,3,2.5
"1-3 MDS","Summer","MDS",5.2,2.8,0.5,17.9,6.1,4.4,3,2.7,2.7,2.3
"1-4 MDS","Summer","MDS",5,2.8,0.5,17,5.9,3.9,2.7,2.8,3.5,2.8
"1-5 MDS","Summer","MDS",5.4,3.2,0.4,16.3,5.7,4.2,3.3,2.8,3.5,2.5
"1-6 MDS","Summer","MDS",5.1,2.8,0.7,16.2,7.8,3.3,2.3,2.8,3.2,2.8
