Name,N,C14:0 Mean,C14:0 SD,C15:0 Mean,C15:0 SD,C16:0 Mean,C16:0 SD,C18:0 Mean,C18:0 SD,C20:0 Mean,C20:0 SD,C21:0 Mean,C21:0 SD,C22:0 Mean,C22:0 SD,C24:0 Mean,C24:0 SD
Aquatic,262,1.47,1.38,0.28,0.28,10.32,11.39,4.35,7.59,0.34,1.38,0.01,0.05,0.02,0.09,0.00,0.01
Diptera,182,1.55,0.99,0.32,0.28,9.11,7.10,3.52,4.28,0.30,0.28,0.00,0.00,0.02,0.10,0.00,0.01
Chaoborus,63,1.82,0.44,0.35,0.12,7.28,2.19,2.66,1.37,0.30,0.23,0.00,0.00,0.03,0.09,0.00,0.00
Chironomidae,94,1.34,0.97,0.31,0.27,9.51,8.89,4.08,5.80,0.31,0.28,0.00,0.00,0.00,0.00,0.00,0.02
Mosquito,6,0.96,0.66,0.04,0.11,13.12,8.02,3.18,1.84,0.06,0.15,0.00,0.00,0.00,0.00,0.00,0.00
Simuliidae,19,1.63,2.04,0.31,0.63,13.21,7.64,4.29,3.12,0.29,0.48,0.00,0.00,0.08,0.28,0.00,0.00
Ephemeroptera,15,1.67,1.20,0.50,0.29,20.27,9.42,3.61,1.58,0.12,0.30,0.00,0.00,0.02,0.07,0.00,0.00
Hymenoptera,12,1.88,4.18,0.00,0.00,36.68,33.32,23.88,24.98,2.47,6.34,0.00,0.00,0.00,0.00,0.00,0.00
Megaloptera,9,0.27,0.38,0.03,0.10,3.77,1.47,1.99,0.99,0.10,0.20,0.00,0.00,0.00,0.00,0.00,0.00
Plecoptera,5,0.57,0.29,0.14,0.19,6.50,2.91,1.67,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trichoptera,39,1.28,1.60,0.14,0.20,6.40,5.31,3.66,3.59,0.10,0.17,0.05,0.13,0.01,0.06,0.00,0.00
Semi-Aquatic,32,2.18,2.68,0.01,0.05,8.66,5.12,4.27,5.31,0.11,0.18,0.00,0.00,0.00,0.00,0.00,0.00
Diptera,32,2.18,2.68,0.01,0.05,8.66,5.12,4.27,5.31,0.11,0.18,0.00,0.00,0.00,0.00,0.00,0.00
Psychodidae,32,2.18,2.68,0.01,0.05,8.66,5.12,4.27,5.31,0.11,0.18,0.00,0.00,0.00,0.00,0.00,0.00
Terrestrial,375,0.84,3.10,0.02,0.12,8.50,10.36,3.40,3.82,0.23,0.52,0.04,0.18,0.05,0.30,0.01,0.13
Blattodea,3,2.57,0.56,0.00,0.00,17.02,3.14,2.27,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
