"ID","Season","Site","C12.0","C14.0","C15.0","C16.0","C17.0","C18.0","C20.0"
"1-1 MDS","Summer","MDS",0,0.3,0.5,11.1,3.1,7.3,0.2
"1-10 MDS","Summer","MDS",0,0.4,0.6,12.2,3.4,6.6,0.2
"1-11 MDS","Summer","MDS",0,0.3,0.5,12.1,3.1,7,0.3
"1-12 MDS","Summer","MDS",0,0.3,0.5,10.5,2.7,6.3,0.3
"1-13 MDS","Summer","MDS",0,0.3,0.5,11.5,3,7.6,0.3
"1-14 MDS","Summer","MDS",0,0.4,0.6,12.5,2.7,6.3,0.3
"1-15 MDS","Summer","MDS",0,0.4,0.5,13.2,2.8,6.2,0.3
"1-16 MDS","Summer","MDS",0,0.4,0.6,11.9,2.9,6.3,0.3
"1-17 MDS","Summer","MDS",0,0.3,0.6,10.6,2.9,7.1,0.3
"1-18 MDS","Summer","MDS",0,0.3,0.5,11.5,3.1,7.3,0.4
"1-19 MDS","Summer","MDS",0,0.6,0.6,13.1,2.9,6.2,0.3
"1-2 MDS","Summer","MDS",0,0.3,0.5,11.2,3.1,6.7,0.3
"1-20 MDS","Summer","MDS",0,0.3,0.5,11,3,6.5,0.3
"1-3 MDS","Summer","MDS",0,0.3,0.6,10.5,3.1,6.9,0.3
"1-4 MDS","Summer","MDS",0,0.2,0.5,10.6,2.8,7.2,0.2
"1-5 MDS","Summer","MDS",0,0.4,0.6,12.2,3.2,5.9,0.3
"1-6 MDS","Summer","MDS",0,0.6,0.6,12.7,2.7,6,0.3
"1-7 MDS","Summer","MDS",0,0.3,0.6,12.1,3.1,7.2,0.2
"1-8 MDS","Summer","MDS",0,0.4,0.6,15.1,2.9,5.8,0.3
"1-9 MDS","Summer","MDS",0,0.3,0.6,10.5,3,6.8,0.3
"10-1 TDS","Fall","TDS",0,1.1,3,13.5,1.5,6.3,0.2
"10-10 TDS","Fall","TDS",0,0.7,1.4,15.1,1.8,5.7,0.2
"10-11 TDS","Fall","TDS",0,0.8,1,19.1,2,5.5,0.3
"10-13 TDS","Fall","TDS",0,0.7,1.6,16.2,1.7,5.5,0.2
"10-14 TDS","Fall","TDS",0,0.6,1.7,14.4,1.8,5.3,0.2
"10-15 TDS","Fall","TDS",0,0.7,1.1,16.8,1.9,4.9,0.2
"10-16 TDS","Fall","TDS",0,0.8,0.8,17.1,1.6,4.2,0.2
"10-17 TDS","Fall","TDS",0,0.7,0.7,18.5,1.9,4.6,0.3
"10-18 TDS","Fall","TDS",0,0.7,1.3,15.8,1.8,5.3,0.2
"10-19 TDS","Fall","TDS",0,0.5,1.6,14.1,1.9,6.5,0.2
"10-2 TDS","Fall","TDS",0,0.5,1.8,17.9,2,4.8,0.2
"10-20 TDS","Fall","TDS",0,0.9,1.3,18.9,1.8,5.2,0.2
"10-3 TDS","Fall","TDS",0,0.8,1.3,17.9,1.8,3.9,0.2
"10-4 TDS","Fall","TDS",0,0.8,1.3,17.7,1.9,4.4,0.2
"10-6 TDS","Fall","TDS",0,1.1,1.1,20.4,1.9,4.8,0.2
"10-8 TDS","Fall","TDS",0,0.6,1.4,16.1,1.7,4.8,0.2
"10-9 TDS","Fall","TDS",0,0.7,1.2,18.9,1.9,4.6,0.2
"11-10 PDS","Fall","PDS",0,0.4,1.7,13.3,2.4,6.6,0.3
"11-11 PDS","Fall","PDS",0,0.3,1.6,12.3,2.1,6.2,0.2
"11-12 PDS","Fall","PDS",0,0.4,1.6,11.7,2,6.2,0.3
"11-13 PDS","Fall","PDS",0,0.3,1.9,12.5,2.3,6.5,0.2
"11-14 PDS","Fall","PDS",0,0.3,1.5,11,2.4,7.1,0.2
"11-15 PDS","Fall","PDS",0,0.2,1.8,11.9,2.1,7.3,0.2
"11-16 PDS","Fall","PDS",0,0.4,0.7,15.8,2.5,5.8,0.3
"11-17 PDS","Fall","PDS",0,0.4,2,15.3,2.2,5.4,0.3
"11-18 PDS","Fall","PDS",0,0.3,2,10.4,2.4,6.8,0.2
"11-19 PDS","Fall","PDS",0,0.3,1.5,12,2.3,6.7,0.2
"11-20 PDS","Fall","PDS",0,0.6,1.1,14.8,2.4,5.9,0.2
"11-3 PDS","Fall","PDS",0,0.7,1.3,17.3,2.1,5,0.3
"11-4 PDS","Fall","PDS",0,0.5,1.6,14.6,2.4,5.9,0.2
"11-5 PDS","Fall","PDS",0,0.4,1.6,15.2,2.1,5.6,0.2
"11-6 PDS","Fall","PDS",0,0.4,2.4,11.5,2.1,7.1,0.3
"11-7 PDS","Fall","PDS",0,0.6,1.5,15.9,2.4,6.2,0.2
"11-8 PDS","Fall","PDS",0,0.4,1.7,12.2,2,5.8,0.2
"11-9 PDS","Fall","PDS",0,0.3,2,10.9,2.3,7,0.2
"12-1 PUS","Fall","PUS",0,0.3,1.9,11.8,1.7,6.6,0.2
"12-10 PUS","Fall","PUS",0,0.6,2.1,13.8,1.7,6,0.2
"12-11 PUS","Fall","PUS",0,0.5,1.9,15.5,1.9,6.2,0.3
"12-12 PUS","Fall","PUS",0,0.4,2.8,14.1,1.7,6.5,0.2
"12-13 PUS","Fall","PUS",0,0.4,2,12.9,2.1,6.8,0.3
"12-14 PUS","Fall","PUS",0,0.4,1.5,15.1,2,6.3,0.2
"12-15 PUS","Fall","PUS",0,0.6,1.3,14.7,1.5,5.4,0.2
"12-16 PUS","Fall","PUS",0,0.4,2.2,13.3,1.8,6.5,0.3
"12-17 PUS","Fall","PUS",0,0.3,2.4,14.1,1.8,7,0.3
"12-18 PUS","Fall","PUS",0,0.5,2.3,13.8,1.9,7.4,0.2
"12-19 PUS","Fall","PUS",0,0.4,3.3,9.3,1.5,7.7,0.3
"12-2 PUS","Fall","PUS",0,0.5,1.5,14.1,1.8,6.1,0.2
"12-20 PUS","Fall","PUS",0,0.3,2.8,11.1,1.9,7.1,0.2
"12-3 PUS","Fall","PUS",0,0.4,2.7,11.7,1.8,8.3,0.3
